"STATISTIC","Statistic Label","C03387V04072","Expenditure type","C02553V03094","Household Size","TLIST(A1)","Year","UNIT","VALUE"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","-","All household sizes","2015","2015","Euro","837.47"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","001","1 person","2015","2015","Euro","430.84"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","003","2 persons","2015","2015","Euro","737.89"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","004","3 persons","2015","2015","Euro","924.8"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","006","4 persons","2015","2015","Euro","1141.13"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","007","5 persons","2015","2015","Euro","1252.55"
"HS208","Average weekly household expenditure","-","00.00.00.00 Total average weekly household expenditure","0091","6 + Persons","2015","2015","Euro","1323.23"
"HS208","Average weekly household expenditure","01","01 Total food","-","All household sizes","2015","2015","Euro","123.28"
"HS208","Average weekly household expenditure","01","01 Total food","001","1 person","2015","2015","Euro","57.48"
"HS208","Average weekly household expenditure","01","01 Total food","003","2 persons","2015","2015","Euro","111.03"
"HS208","Average weekly household expenditure","01","01 Total food","004","3 persons","2015","2015","Euro","136.77"
"HS208","Average weekly household expenditure","01","01 Total food","006","4 persons","2015","2015","Euro","167.01"
"HS208","Average weekly household expenditure","01","01 Total food","007","5 persons","2015","2015","Euro","186.48"
"HS208","Average weekly household expenditure","01","01 Total food","0091","6 + Persons","2015","2015","Euro","207.85"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","-","All household sizes","2015","2015","Euro","97.01"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","001","1 person","2015","2015","Euro","44.56"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","003","2 persons","2015","2015","Euro","85.8"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","004","3 persons","2015","2015","Euro","108.27"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","006","4 persons","2015","2015","Euro","131.81"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","007","5 persons","2015","2015","Euro","149.19"
"HS208","Average weekly household expenditure","0101","01.01 Total food consumed at home","0091","6 + Persons","2015","2015","Euro","169.04"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","-","All household sizes","2015","2015","Euro","5.21"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","001","1 person","2015","2015","Euro","2.59"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","003","2 persons","2015","2015","Euro","4.59"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","004","3 persons","2015","2015","Euro","5.86"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","006","4 persons","2015","2015","Euro","6.83"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","007","5 persons","2015","2015","Euro","7.96"
"HS208","Average weekly household expenditure","010101","01.01.01 Bread","0091","6 + Persons","2015","2015","Euro","9.03"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","-","All household sizes","2015","2015","Euro","0.08"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","001","1 person","2015","2015","Euro","0.05"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","003","2 persons","2015","2015","Euro","0.11"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","004","3 persons","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","006","4 persons","2015","2015","Euro","0.07"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","007","5 persons","2015","2015","Euro","0.1"
"HS208","Average weekly household expenditure","01010101","01.01.01.01 White bread - unsliced","0091","6 + Persons","2015","2015","Euro","0.09"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","-","All household sizes","2015","2015","Euro","1.39"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","001","1 person","2015","2015","Euro","0.73"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","003","2 persons","2015","2015","Euro","1.27"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","004","3 persons","2015","2015","Euro","1.49"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","006","4 persons","2015","2015","Euro","1.71"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","007","5 persons","2015","2015","Euro","2.07"
"HS208","Average weekly household expenditure","01010102","01.01.01.02 White bread - sliced","0091","6 + Persons","2015","2015","Euro","2.69"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","-","All household sizes","2015","2015","Euro","0.32"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","001","1 person","2015","2015","Euro","0.2"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","003","2 persons","2015","2015","Euro","0.32"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","004","3 persons","2015","2015","Euro","0.36"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","006","4 persons","2015","2015","Euro","0.39"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","007","5 persons","2015","2015","Euro","0.37"
"HS208","Average weekly household expenditure","01010103","01.01.01.03 Soda bread","0091","6 + Persons","2015","2015","Euro","0.43"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","-","All household sizes","2015","2015","Euro","0.52"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","001","1 person","2015","2015","Euro","0.39"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","003","2 persons","2015","2015","Euro","0.53"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","004","3 persons","2015","2015","Euro","0.51"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","006","4 persons","2015","2015","Euro","0.59"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","007","5 persons","2015","2015","Euro","0.67"
"HS208","Average weekly household expenditure","01010104","01.01.01.04 Brown bread - sliced and unsliced","0091","6 + Persons","2015","2015","Euro","0.63"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","-","All household sizes","2015","2015","Euro","0.74"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","001","1 person","2015","2015","Euro","0.44"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","003","2 persons","2015","2015","Euro","0.73"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","004","3 persons","2015","2015","Euro","0.81"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","006","4 persons","2015","2015","Euro","0.88"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","007","5 persons","2015","2015","Euro","0.94"
"HS208","Average weekly household expenditure","01010105","01.01.01.05 Wholemeal bread - sliced and unsliced","0091","6 + Persons","2015","2015","Euro","1.04"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","-","All household sizes","2015","2015","Euro","0.59"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","001","1 person","2015","2015","Euro","0.23"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","003","2 persons","2015","2015","Euro","0.46"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","004","3 persons","2015","2015","Euro","0.66"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","006","4 persons","2015","2015","Euro","0.85"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","007","5 persons","2015","2015","Euro","1.03"
"HS208","Average weekly household expenditure","01010106","01.01.01.06 Bread rolls","0091","6 + Persons","2015","2015","Euro","1.14"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","-","All household sizes","2015","2015","Euro","0.24"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","001","1 person","2015","2015","Euro","0.07"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","003","2 persons","2015","2015","Euro","0.17"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","004","3 persons","2015","2015","Euro","0.28"
"HS208","Average weekly household expenditure","01010107","01.01.01.07 French bread","006","4 persons","2015","2015","Euro","0.39"
